frame,video_frame,intersection_type,intersection_x,intersection_y,intersection_z,refined_intersection_x,refined_intersection_y,refined_intersection_z,gaze_2d_pixel_x,gaze_2d_pixel_y,object_type,object_class,yolo_confidence,head_position_x,head_position_y,head_position_z,head_quat_x,head_quat_y,head_quat_z,head_quat_w
281,2329,precomputed_fallback,835.5667383822692,-2244.78220148119,884.918457,,,,,,obstacle,Chair,,858.592346,-2256.435303,1370.678711,0.918845,0.362819,0.088483,0.127501
282,2329,precomputed_fallback,835.0397938017952,-2248.412853437777,884.918457,,,,,,obstacle,Chair,,859.111633,-2257.696289,1364.499268,0.919764,0.361864,0.087651,0.124124
283,2329,precomputed_fallback,837.3740488417286,-2242.0249116148184,884.918457,,,,,,obstacle,Chair,,861.34021,-2258.916992,1359.046143,0.919574,0.361744,0.088311,0.125407
284,2329,precomputed_fallback,797.420052378329,-2224.3099264967286,884.918457,,,,,,obstacle,Chair,,862.247437,-2260.139648,1353.383423,0.920525,0.360931,0.08731,0.121402
285,2330,precomputed_fallback,817.526400534112,-2245.5632335155574,884.918457,,,,,,obstacle,Chair,,864.2099,-2261.41626,1347.935425,0.920311,0.360381,0.088145,0.12403
286,2330,precomputed_fallback,815.922754612669,-2245.9487978870993,884.918457,,,,,,obstacle,Chair,,864.474121,-2262.681396,1342.423828,0.921656,0.359661,0.085613,0.117748
287,2330,precomputed_fallback,821.4023624660504,-2251.624635655555,884.918457,,,,,,obstacle,Chair,,866.417603,-2263.864502,1336.963989,0.921314,0.358877,0.086812,0.121868
288,2330,precomputed_fallback,793.7220080184682,-2229.1123887423973,884.918457,,,,,,obstacle,Chair,,866.873962,-2264.960449,1331.789673,0.922655,0.358842,0.083299,0.114022
289,2331,precomputed_fallback,788.6861777990725,-2210.62458943122,884.918457,,,,,,obstacle,Chair,,868.905396,-2266.299316,1326.633911,0.921016,0.35996,0.086152,0.121389
290,2331,precomputed_fallback,836.2950547280277,-2224.9519841903516,884.918457,,,,,,obstacle,Chair,,869.087891,-2267.193604,1321.643677,0.923147,0.357755,0.083193,0.113535
291,2331,precomputed_fallback,857.628687629566,-2241.547823657007,884.918457,,,,,,obstacle,Chair,,871.651367,-2268.365234,1317.231323,0.92131,0.360353,0.085142,0.118681
292,2331,precomputed_fallback,847.1521464833896,-2236.094639897612,884.918457,,,,,,obstacle,Chair,,870.941895,-2269.332764,1312.330933,0.923794,0.357916,0.081097,0.109202
293,2332,none,,,,,,,,,,,,871.734436,-2270.450684,1307.812012,0.924521,0.356801,0.080169,0.107365
294,2332,precomputed_fallback,852.7679884022587,-2241.656537303775,884.918457,,,,,,obstacle,Chair,,873.587402,-2271.527588,1303.906616,0.924278,0.356908,0.080896,0.108551
