frame,video_frame,intersection_type,intersection_x,intersection_y,intersection_z,refined_intersection_x,refined_intersection_y,refined_intersection_z,gaze_2d_pixel_x,gaze_2d_pixel_y,object_type,object_class,yolo_confidence,head_position_x,head_position_y,head_position_z,head_quat_x,head_quat_y,head_quat_z,head_quat_w
145,10762,precomputed_fallback,-11000.0,669.4643754575359,379.8786313816902,,,,,,floor,unknown,,-4746.157715,-1432.606201,1566.536499,-0.32125,0.70135,0.597703,-0.218308
146,10762,precomputed_fallback,-11000.0,717.3186044360566,185.52624014661023,,,,,,floor,unknown,,-4749.16748,-1433.800171,1566.224243,-0.340489,0.69461,0.591295,-0.227937
147,10762,precomputed_fallback,-10828.995101344695,348.42019548975645,0.0,,,,,,floor,unknown,,-4751.842285,-1435.314575,1565.548462,-0.35976,0.688461,0.583769,-0.236237
148,10762,precomputed_fallback,-10379.148390549311,-1527.4461870997734,0.0,,,,,,floor,unknown,,-4755.417969,-1437.489136,1565.134521,-0.377382,0.678562,0.579132,-0.24848
149,10763,precomputed_fallback,-8848.748277752928,-1102.9068252723996,94.28418336016694,,,,,,floor,unknown,,-4758.183594,-1439.93335,1563.949585,-0.396431,0.670756,0.571147,-0.258302
150,10763,precomputed_fallback,-9688.2554574148,-1459.153426012693,0.0,,,,,,floor,unknown,,-4760.815918,-1442.782104,1562.566406,-0.417012,0.66299,0.562412,-0.265023
151,10763,precomputed_fallback,-10708.8948546966,-2190.7804245462644,0.0,,,,,,floor,unknown,,-4761.211426,-1445.318604,1560.331055,-0.441534,0.660371,0.546787,-0.264541
152,10763,precomputed_fallback,-10054.095776080829,-2408.9041349100794,0.0,,,,,,floor,unknown,,-4765.159668,-1449.813599,1559.134155,-0.457903,0.64919,0.538919,-0.280078
153,10764,precomputed_fallback,-8451.428654767304,-2152.073177630101,0.0,,,,,,floor,unknown,,-4766.174805,-1452.609863,1556.685181,-0.479977,0.638276,0.52897,-0.287085
154,10764,precomputed_fallback,-8038.275505573498,-2230.090075079069,0.0,,,,,,floor,unknown,,-4768.807617,-1458.573608,1554.633545,-0.496729,0.632172,0.5148,-0.297658
155,10764,precomputed_fallback,-7801.358847997922,-2365.6328635280333,0.0,,,,,,floor,unknown,,-4772.828613,-1466.058472,1553.325317,-0.510132,0.624278,0.502191,-0.312806
156,10764,precomputed_fallback,-5948.436060403538,-1991.687213543982,991.3086449492996,,,,,,obstacle,unknown,,-4779.328613,-1476.535889,1553.443726,-0.517283,0.616533,0.490093,-0.334833
157,10765,precomputed_fallback,-5825.663085172806,-2084.090676981388,1088.8747482367912,,,,,,obstacle,unknown,,-4780.766602,-1482.760376,1551.302002,-0.53371,0.607311,0.477656,-0.343761
